Years After Graduation,Field of Study (2-digit CIP code),Median Income,cred_Bachelor's degree,cred_Certificate,cred_Diploma,cred_Doctoral degree,cred_Master's degree,cred_Professional bachelor's degree
-0.700,-0.82,43900,1,0,0,0,0,0
-0.700,0.68,68000,0,0,1,0,0,0
1.413,1.53,31700,0,0,1,0,0,0
0.709,0.68,81500,0,0,1,0,0,0
-0.700,1.53,85700,0,0,0,0,1,0
0.709,-0.33,33500,0,1,0,0,0,0
1.413,0.30,54600,0,1,0,0,0,0
-1.404,0.67,42200,0,0,1,0,0,0
1.413,-0.33,48000,0,0,1,0,0,0
1.413,0.13,54600,0,0,0,0,0,1
0.709,-0.77,61900,0,0,0,0,1,0
-0.700,-0.82,62900,0,0,0,0,1,0
0.004,-0.10,62900,0,0,0,0,1,0
-1.404,-0.82,34000,0,1,0,0,0,0
0.709,0.68,67300,0,1,0,0,0,0
-1.404,1.53,50500,1,0,0,0,0,0
0.709,-1.50,52000,0,1,0,0,0,0
1.413,0.44,76700,0,0,0,1,0,0
1.413,-1.22,39900,0,0,1,0,0,0
0.004,-0.10,58300,1,0,0,0,0,0
-1.404,-0.09,58500,1,0,0,0,0,0
0.709,1.53,21500,0,0,1,0,0,0
-0.700,-0.10,55100,1,0,0,0,0,0
-0.700,2.26,76700,1,0,0,0,0,0
0.004,-0.77,38400,0,0,1,0,0,0
-0.700,0.19,60900,0,0,0,0,1,0
-1.404,-1.34,34500,0,0,1,0,0,0
0.004,-1.21,39900,0,1,0,0,0,0
1.413,0.30,70100,1,0,0,0,0,0
1.413,0.16,74200,0,0,0,0,1,0
-0.700,-0.33,37300,0,1,0,0,0,0
0.004,1.53,100400,0,0,0,0,1,0
0.709,2.26,86300,1,0,0,0,0,0
0.709,-1.66,41000,1,0,0,0,0,0
-0.700,1.53,52900,1,0,0,0,0,0
-0.700,0.13,39500,0,0,1,0,0,0
0.004,0.44,44800,1,0,0,0,0,0
0.709,0.44,47400,1,0,0,0,0,0
0.709,0.13,75900,0,0,1,0,0,0
0.709,0.62,51800,1,0,0,0,0,0
0.709,0.16,53600,0,0,1,0,0,0
-1.404,0.62,39500,0,0,1,0,0,0
1.413,0.13,46700,0,0,1,0,0,0
0.709,-0.82,38000,1,0,0,0,0,0
1.413,0.67,46900,0,1,0,0,0,0
-0.700,2.26,71300,1,0,0,0,0,0
-0.700,0.67,55800,0,1,0,0,0,0
-1.404,0.13,68800,1,0,0,0,0,0
0.709,-0.27,46300,1,0,0,0,0,0
0.709,0.30,50000,0,1,0,0,0,0
0.004,-0.33,55800,1,0,0,0,0,0
-1.404,0.13,66600,0,0,1,0,0,0
1.413,-1.50,39000,0,1,0,0,0,0
0.004,-0.82,43400,0,0,1,0,0,0
0.004,-0.82,57000,0,0,0,1,0,0
-1.404,-1.22,31300,0,1,0,0,0,0
0.004,-0.55,96100,0,0,0,0,1,0
1.413,0.62,43300,0,1,0,0,0,0
0.709,0.13,46800,0,0,1,0,0,0
1.413,0.68,86100,0,1,0,0,0,0
0.709,-0.33,60300,1,0,0,0,0,0
-1.404,0.13,26200,0,0,1,0,0,0
0.709,-0.77,30000,0,0,1,0,0,0
0.709,0.13,103200,0,0,0,1,0,0
0.004,2.26,125900,0,0,0,1,0,0
-1.404,-0.62,50700,0,0,0,1,0,0
0.709,-0.33,67500,0,0,1,0,0,0
0.004,2.26,89800,1,0,0,0,0,0
0.004,-0.33,68800,0,0,1,0,0,0
0.709,0.13,73400,0,0,0,0,0,1
1.413,-1.62,44600,1,0,0,0,0,0
1.413,2.26,85400,1,0,0,0,0,0
1.413,2.26,83800,0,0,0,1,0,0
-0.700,-0.55,44000,1,0,0,0,0,0
-1.404,2.26,62800,1,0,0,0,0,0
-0.700,-0.10,37200,1,0,0,0,0,0
1.413,-0.83,45300,1,0,0,0,0,0
0.004,0.13,77600,1,0,0,0,0,0
0.004,0.67,62400,0,1,0,0,0,0
-0.700,-0.09,47100,0,0,1,0,0,0
-0.700,-1.05,36400,0,1,0,0,0,0
-1.404,0.68,66600,0,0,1,0,0,0
-1.404,0.30,57400,0,1,0,0,0,0
-0.700,-0.82,37900,0,0,0,1,0,0
-0.700,0.13,42000,0,1,0,0,0,0
0.004,0.13,61700,1,0,0,0,0,0
0.709,0.13,60900,1,0,0,0,0,0
0.004,-0.90,44200,0,1,0,0,0,0
-1.404,-1.34,38600,1,0,0,0,0,0
-0.700,-0.09,64900,1,0,0,0,0,0
0.004,2.26,78300,1,0,0,0,0,0
0.709,-0.10,60900,1,0,0,0,0,0
1.413,-1.13,48400,1,0,0,0,0,0
-1.404,0.62,78600,0,0,0,0,1,0
-1.404,-0.10,34800,1,0,0,0,0,0
1.413,0.16,56000,0,0,1,0,0,0
-0.700,-0.33,53200,0,0,1,0,0,0
0.709,-0.10,44300,1,0,0,0,0,0
0.004,0.16,58100,0,0,0,0,1,0
-0.700,0.68,53000,0,0,1,0,0,0
0.004,0.68,86900,0,0,1,0,0,0
0.004,-1.05,39400,0,1,0,0,0,0
0.004,0.67,47300,0,1,0,0,0,0
0.709,-0.10,51600,1,0,0,0,0,0
0.004,0.13,56400,0,0,1,0,0,0
-1.404,-1.05,33300,0,1,0,0,0,0
0.709,-0.33,33700,0,1,0,0,0,0
0.004,-0.82,47800,0,0,0,1,0,0
0.004,0.13,6700,0,0,0,0,0,1
0.709,-1.50,35600,0,0,1,0,0,0
0.709,-0.55,56700,1,0,0,0,0,0
0.004,0.67,48200,0,0,1,0,0,0
-1.404,-0.55,43600,1,0,0,0,0,0
0.004,-1.05,25000,0,1,0,0,0,0
0.004,0.30,48100,0,1,0,0,0,0
0.004,0.13,77500,0,0,1,0,0,0
1.413,1.53,95700,0,0,0,0,1,0
0.709,0.13,80900,0,0,1,0,0,0
0.004,1.53,86900,0,0,0,0,1,0
-1.404,1.88,74900,0,0,1,0,0,0
0.004,0.68,78700,1,0,0,0,0,0
1.413,0.13,32400,0,0,1,0,0,0
0.709,0.13,104400,0,0,0,0,0,1
-1.404,1.88,88000,0,1,0,0,0,0
0.709,2.26,100900,1,0,0,0,0,0
1.413,-0.90,48900,0,0,1,0,0,0
0.709,0.68,65100,0,0,1,0,0,0
1.413,2.26,94500,0,0,0,0,1,0
1.413,-0.10,64400,0,0,0,0,1,0
0.004,-0.33,66200,0,0,1,0,0,0
1.413,2.26,98400,0,0,0,0,1,0
0.709,0.13,76900,1,0,0,0,0,0
0.709,-0.33,46100,0,0,1,0,0,0
0.709,-0.33,65200,1,0,0,0,0,0
1.413,-0.83,55400,0,0,0,1,0,0
0.709,0.13,94600,0,0,0,0,1,0
0.709,-1.13,45200,1,0,0,0,0,0
-1.404,2.26,59500,1,0,0,0,0,0
-0.700,0.30,65800,1,0,0,0,0,0
-0.700,-0.82,34600,0,0,1,0,0,0
0.004,-0.77,67300,0,0,0,0,1,0
-1.404,-0.55,39000,1,0,0,0,0,0
-1.404,0.67,110800,1,0,0,0,0,0
-1.404,-0.10,56900,0,0,0,0,1,0
1.413,0.68,56800,0,1,0,0,0,0
1.413,-0.90,46500,0,1,0,0,0,0
1.413,-0.62,47400,0,0,0,0,1,0
1.413,-0.82,46600,0,1,0,0,0,0
1.413,-0.82,63100,0,0,0,0,1,0
-0.700,0.67,44500,0,1,0,0,0,0
-1.404,0.13,38400,0,0,0,0,0,1
0.709,0.13,57700,1,0,0,0,0,0
0.709,0.45,58900,1,0,0,0,0,0
-1.404,0.45,89900,0,0,0,1,0,0
0.004,-0.09,65000,1,0,0,0,0,0
0.004,0.13,103600,0,0,0,1,0,0
-1.404,0.30,44800,0,1,0,0,0,0
1.413,0.19,68800,1,0,0,0,0,0
1.413,-0.33,38900,0,0,1,0,0,0
0.709,-1.22,46500,1,0,0,0,0,0
1.413,-0.82,53500,1,0,0,0,0,0
0.004,-0.82,48600,1,0,0,0,0,0
1.413,0.13,61200,0,0,1,0,0,0
0.004,1.53,56600,1,0,0,0,0,0
-1.404,-0.83,38400,0,0,0,0,1,0
1.413,-0.09,70500,0,0,0,0,1,0
-0.700,2.26,76100,0,0,0,0,1,0
0.709,-0.92,44500,1,0,0,0,0,0
-0.700,0.68,53800,0,0,1,0,0,0
1.413,2.26,100200,0,0,0,1,0,0
-0.700,1.53,99000,0,0,0,0,1,0
0.004,1.53,94900,0,0,0,1,0,0
0.709,-0.77,41900,0,1,0,0,0,0
1.413,-0.82,54400,1,0,0,0,0,0
-0.700,0.68,86000,0,0,1,0,0,0
1.413,-1.50,27100,0,1,0,0,0,0
1.413,2.26,105000,0,0,0,0,1,0
-0.700,0.13,41800,0,0,1,0,0,0
0.709,-0.10,51400,1,0,0,0,0,0
-1.404,0.68,63800,0,0,1,0,0,0
0.709,-1.05,27300,0,1,0,0,0,0
1.413,0.68,70000,0,0,1,0,0,0
0.004,-0.33,60000,1,0,0,0,0,0
1.413,-0.33,64300,1,0,0,0,0,0
1.413,0.68,80400,1,0,0,0,0,0
0.004,-0.09,60600,1,0,0,0,0,0
-0.700,-1.05,43600,0,1,0,0,0,0
-0.700,0.67,58300,1,0,0,0,0,0
1.413,2.26,110000,1,0,0,0,0,0
-1.404,0.19,10300,0,0,0,1,0,0
-0.700,0.13,73900,1,0,0,0,0,0
-1.404,0.13,98600,0,0,0,1,0,0
1.413,0.13,41800,0,0,1,0,0,0
1.413,-1.05,26300,0,1,0,0,0,0
-1.404,0.68,59500,0,0,1,0,0,0
0.004,-1.50,25600,0,1,0,0,0,0
-0.700,-1.66,31000,1,0,0,0,0,0
0.004,1.88,162500,0,0,1,0,0,0
1.413,-0.09,58900,1,0,0,0,0,0
1.413,-1.34,23100,0,1,0,0,0,0
-1.404,0.68,66700,0,0,1,0,0,0
-0.700,-1.66,36700,0,0,0,0,1,0
0.709,-0.82,59300,0,0,0,0,1,0
0.709,2.26,99600,0,0,0,1,0,0
-0.700,-1.66,36200,1,0,0,0,0,0
0.004,0.30,50900,0,0,1,0,0,0
1.413,2.26,81300,1,0,0,0,0,0
-1.404,2.26,68100,1,0,0,0,0,0
-1.404,-1.66,28000,1,0,0,0,0,0
0.004,0.16,71900,0,0,0,0,1,0
-0.700,0.13,34200,0,0,1,0,0,0
0.709,1.88,95200,0,0,1,0,0,0
-0.700,-0.82,37100,0,0,1,0,0,0
1.413,0.13,64600,0,0,0,0,0,1
0.004,0.68,62300,0,1,0,0,0,0
1.413,-0.27,76200,1,0,0,0,0,0
1.413,-1.66,41300,0,1,0,0,0,0
-1.404,-1.66,31000,0,0,1,0,0,0
-0.700,0.30,48600,0,0,1,0,0,0
1.413,0.68,55400,0,0,1,0,0,0
0.004,-0.90,43300,0,0,1,0,0,0
-0.700,1.53,27000,0,0,1,0,0,0
-0.700,0.13,67200,0,0,0,0,0,1
0.004,-0.64,40900,0,0,1,0,0,0
0.004,-1.66,26700,0,0,1,0,0,0
0.004,-1.34,47300,1,0,0,0,0,0
0.004,-0.64,52900,0,0,1,0,0,0
1.413,0.67,63900,1,0,0,0,0,0
-0.700,0.68,73600,0,0,1,0,0,0
0.004,-0.82,31700,0,1,0,0,0,0
0.709,0.68,54800,0,1,0,0,0,0
1.413,-1.34,48500,1,0,0,0,0,0
-1.404,0.30,60500,1,0,0,0,0,0
1.413,-0.33,116300,0,0,0,0,1,0
-0.700,-0.55,40700,0,0,1,0,0,0
-1.404,-1.50,51300,0,1,0,0,0,0
-1.404,-1.66,36300,0,0,0,0,1,0
-0.700,0.30,50200,0,1,0,0,0,0
0.709,-0.82,54600,0,0,0,1,0,0
-1.404,0.30,50000,0,0,1,0,0,0
0.709,0.93,132500,0,0,1,0,0,0
1.413,-0.10,56100,1,0,0,0,0,0
0.709,-0.82,39700,0,0,0,0,1,0
0.709,1.88,68600,0,1,0,0,0,0
0.709,-1.05,45700,0,1,0,0,0,0
-0.700,1.53,94300,0,0,0,0,1,0
0.004,-1.66,33900,1,0,0,0,0,0
-1.404,-0.10,43900,1,0,0,0,0,0
-0.700,-0.33,57500,1,0,0,0,0,0
-0.700,1.53,100200,0,0,0,1,0,0
0.709,-0.33,60600,1,0,0,0,0,0
1.413,0.30,64200,0,0,1,0,0,0
-0.700,0.68,63500,0,1,0,0,0,0
0.004,0.13,42700,0,1,0,0,0,0
1.413,-1.66,45100,1,0,0,0,0,0
1.413,-0.33,34700,0,1,0,0,0,0
1.413,-0.33,41800,0,0,1,0,0,0
-0.700,-0.83,41200,0,0,0,0,1,0
-1.404,-0.33,44500,1,0,0,0,0,0
0.709,-1.62,29900,1,0,0,0,0,0
-1.404,0.30,43200,0,1,0,0,0,0
-1.404,-0.82,16800,0,0,0,1,0,0
-0.700,0.13,32600,0,0,1,0,0,0
1.413,-0.77,39700,0,0,1,0,0,0
-1.404,1.53,23700,0,0,1,0,0,0
-1.404,-0.82,28800,1,0,0,0,0,0
1.413,-0.33,67300,1,0,0,0,0,0
0.004,-1.34,47800,1,0,0,0,0,0
-0.700,-0.82,47800,0,0,0,0,1,0
0.004,1.53,101700,0,0,0,0,1,0
-1.404,-0.83,37700,0,0,1,0,0,0
0.709,0.13,57000,1,0,0,0,0,0
0.709,-0.55,37300,0,0,1,0,0,0
0.709,-0.33,48100,0,0,1,0,0,0
1.413,-1.22,43300,0,0,1,0,0,0
1.413,0.68,98600,0,0,1,0,0,0
-0.700,-0.82,48200,1,0,0,0,0,0
-1.404,-0.10,45000,1,0,0,0,0,0
1.413,0.13,72000,0,0,0,0,1,0
-0.700,2.26,91000,0,0,0,0,1,0
1.413,-0.77,61200,0,0,0,0,1,0
1.413,-1.66,42700,0,0,1,0,0,0
-0.700,-0.33,58800,1,0,0,0,0,0
-1.404,-0.55,35900,0,0,1,0,0,0
1.413,-0.33,40000,0,1,0,0,0,0
1.413,0.19,54300,1,0,0,0,0,0
0.709,2.26,72000,1,0,0,0,0,0
1.413,-0.82,43500,0,0,1,0,0,0
1.413,-0.77,37700,0,0,1,0,0,0
0.709,-0.09,44900,0,0,1,0,0,0
-0.700,-1.21,27200,0,0,1,0,0,0
-1.404,-0.77,28300,0,0,1,0,0,0
0.004,0.19,88600,0,0,0,0,1,0
-1.404,2.26,113000,0,0,0,1,0,0
0.709,-1.62,41000,0,0,0,0,1,0
0.004,-1.34,22400,0,1,0,0,0,0
0.004,2.26,90300,1,0,0,0,0,0
-1.404,0.13,57000,0,0,0,0,1,0
0.004,-1.66,34800,0,1,0,0,0,0
-0.700,1.53,57100,1,0,0,0,0,0
0.004,2.26,97700,0,0,0,1,0,0
-0.700,0.13,79200,0,0,1,0,0,0
-0.700,0.13,34200,0,1,0,0,0,0
0.709,0.45,56500,1,0,0,0,0,0
0.004,1.53,61100,1,0,0,0,0,0
1.413,1.88,57000,0,0,1,0,0,0
0.709,2.26,95500,0,0,0,0,1,0
0.709,0.16,66700,0,0,0,0,1,0
0.709,-1.66,34400,1,0,0,0,0,0
1.413,0.68,60300,0,0,1,0,0,0
-1.404,-0.90,36600,0,0,1,0,0,0
-1.404,-1.66,21500,0,0,1,0,0,0
0.709,-0.09,72900,0,0,0,0,1,0
0.709,-0.83,42400,0,0,1,0,0,0
1.413,-1.34,53300,1,0,0,0,0,0
-0.700,-0.82,33000,0,1,0,0,0,0
0.004,1.88,96400,0,0,1,0,0,0
0.004,-0.10,58900,1,0,0,0,0,0
0.004,-1.22,41700,0,0,1,0,0,0
0.004,-1.50,33800,0,0,1,0,0,0
-1.404,2.26,89700,0,0,0,0,1,0
1.413,-0.33,58800,0,0,1,0,0,0
1.413,-0.27,49200,1,0,0,0,0,0
0.709,0.16,60900,0,0,0,0,1,0
-1.404,-0.09,38500,0,0,0,1,0,0
-0.700,-0.82,37300,0,0,1,0,0,0
-1.404,-1.66,26800,1,0,0,0,0,0
-0.700,-1.34,35500,0,0,1,0,0,0
0.004,-0.82,58700,0,0,0,0,1,0
-0.700,1.53,78400,1,0,0,0,0,0
0.004,0.13,55100,0,0,0,0,1,0
0.004,2.26,80100,0,0,0,1,0,0
-0.700,-0.55,53000,0,0,1,0,0,0
0.004,-0.27,47700,1,0,0,0,0,0
0.004,-1.66,33700,1,0,0,0,0,0
-0.700,0.30,50300,0,1,0,0,0,0
-0.700,-0.82,31700,0,0,0,1,0,0
0.004,0.68,74300,0,0,1,0,0,0
-1.404,0.13,61700,0,0,0,0,0,1
1.413,0.68,70300,0,0,1,0,0,0
-0.700,0.30,55100,0,0,1,0,0,0
0.004,-0.83,54300,0,0,0,1,0,0
0.004,-0.82,79700,0,0,0,0,1,0
1.413,0.93,131200,0,0,1,0,0,0
-1.404,-0.10,53700,0,0,0,0,1,0
-1.404,-0.82,31900,0,0,1,0,0,0
0.004,-1.66,42800,1,0,0,0,0,0
1.413,-0.82,49200,0,0,0,0,1,0
-1.404,0.13,80100,1,0,0,0,0,0
-0.700,2.26,82200,1,0,0,0,0,0
-1.404,0.13,71700,0,0,0,0,1,0
-0.700,-1.13,38500,1,0,0,0,0,0
0.004,-0.33,37500,0,0,1,0,0,0
-1.404,0.67,52600,1,0,0,0,0,0
0.709,-0.64,42100,0,0,1,0,0,0
-1.404,2.26,90400,0,0,0,1,0,0
0.709,-0.33,38000,0,1,0,0,0,0
0.004,1.53,63100,1,0,0,0,0,0
1.413,0.68,59000,0,1,0,0,0,0
-0.700,0.68,70400,0,0,1,0,0,0
0.709,-0.82,29400,0,0,1,0,0,0
-1.404,0.13,41200,0,0,1,0,0,0
1.413,-1.50,37000,0,0,1,0,0,0
0.004,-0.33,41400,0,0,1,0,0,0
0.004,-1.05,52300,0,1,0,0,0,0
0.004,-0.33,56800,1,0,0,0,0,0
0.709,-0.33,63000,1,0,0,0,0,0
-1.404,0.68,72500,1,0,0,0,0,0
0.004,-0.82,36000,0,0,0,1,0,0
1.413,1.53,90000,1,0,0,0,0,0
-0.700,-0.27,40000,1,0,0,0,0,0
0.709,0.67,48800,0,1,0,0,0,0
-0.700,-0.33,60500,1,0,0,0,0,0
1.413,-1.22,51600,1,0,0,0,0,0
-1.404,0.13,45400,1,0,0,0,0,0
0.004,0.62,48700,1,0,0,0,0,0
0.709,2.26,82300,0,0,0,0,1,0
0.709,0.13,38700,0,1,0,0,0,0
1.413,0.30,74000,1,0,0,0,0,0
0.004,-0.09,58900,0,0,1,0,0,0
0.004,-0.33,45300,0,0,1,0,0,0
0.004,0.13,52700,1,0,0,0,0,0
-1.404,0.13,47500,0,1,0,0,0,0
-0.700,-1.66,27400,0,0,1,0,0,0
0.709,0.13,56400,0,0,0,0,1,0
0.004,-0.09,48600,0,0,1,0,0,0
0.004,-1.13,39900,1,0,0,0,0,0
0.004,2.26,78900,1,0,0,0,0,0
0.709,1.53,88900,0,0,0,1,0,0
0.004,0.13,43900,0,0,1,0,0,0
1.413,1.88,72500,0,1,0,0,0,0
1.413,-1.62,48500,0,0,0,0,1,0
-1.404,-0.33,80400,0,0,0,0,1,0
-0.700,2.26,70600,0,0,0,1,0,0
0.004,-0.33,52600,0,0,1,0,0,0
0.004,0.68,65400,0,0,1,0,0,0
0.004,-0.10,56300,1,0,0,0,0,0
1.413,0.19,82200,0,0,0,0,1,0
0.004,-0.10,41800,1,0,0,0,0,0
0.709,-0.27,42000,1,0,0,0,0,0
0.709,-0.33,115800,0,0,0,0,1,0
-0.700,1.53,98400,0,0,0,1,0,0
1.413,2.26,84300,1,0,0,0,0,0
-0.700,-0.82,75100,0,0,0,0,1,0
0.709,-0.55,44700,0,0,1,0,0,0
-0.700,-0.55,35900,0,0,1,0,0,0
1.413,-0.10,60000,1,0,0,0,0,0
0.709,0.30,46700,0,0,1,0,0,0
-1.404,-0.33,109000,0,0,0,0,1,0
0.004,0.45,55200,1,0,0,0,0,0
-1.404,-0.77,35600,0,1,0,0,0,0
0.709,-0.82,54900,1,0,0,0,0,0
0.004,0.13,74900,0,0,0,0,1,0
0.709,-0.55,49300,1,0,0,0,0,0
1.413,0.44,53300,0,0,0,0,1,0
1.413,-1.21,55200,1,0,0,0,0,0
1.413,0.30,45100,0,1,0,0,0,0
-1.404,0.30,48400,0,1,0,0,0,0
-1.404,-0.09,39300,0,0,1,0,0,0
-0.700,-0.82,39400,1,0,0,0,0,0
0.709,0.68,68800,0,0,1,0,0,0
0.004,2.26,96600,1,0,0,0,0,0
-1.404,-1.62,19800,1,0,0,0,0,0
-0.700,-0.77,39000,0,0,1,0,0,0
0.709,-1.21,43900,0,1,0,0,0,0
0.004,-0.82,46600,1,0,0,0,0,0
-1.404,-0.27,66200,1,0,0,0,0,0
-0.700,0.30,59400,1,0,0,0,0,0
1.413,-0.33,64400,1,0,0,0,0,0
1.413,1.53,62900,1,0,0,0,0,0
0.004,0.68,65200,0,0,1,0,0,0
0.004,1.53,61900,1,0,0,0,0,0
0.709,0.30,52000,0,1,0,0,0,0
-0.700,0.30,55900,0,0,1,0,0,0
1.413,0.13,93900,0,0,0,0,1,0
0.709,-0.82,84500,0,0,0,0,1,0
0.709,-0.77,36100,0,0,1,0,0,0
0.709,0.67,123400,1,0,0,0,0,0
1.413,-0.82,67700,1,0,0,0,0,0
1.413,1.53,99800,0,0,0,1,0,0
-0.700,-0.33,61300,1,0,0,0,0,0
0.709,-1.34,47000,1,0,0,0,0,0
1.413,0.68,80600,0,0,1,0,0,0
-0.700,-0.82,52900,1,0,0,0,0,0
-1.404,-1.62,31400,0,0,0,0,1,0
-0.700,1.88,148000,0,0,1,0,0,0
-1.404,0.13,72600,0,0,0,1,0,0
0.709,0.44,69400,0,0,0,0,1,0
-1.404,-0.55,46800,1,0,0,0,0,0
0.004,0.44,66900,0,0,0,0,1,0
-0.700,-0.83,34600,0,0,1,0,0,0
0.709,-0.33,88200,0,0,0,0,1,0
0.709,-0.82,54500,0,0,0,1,0,0
-1.404,-1.66,20600,0,0,1,0,0,0
0.004,-0.09,44500,0,0,1,0,0,0
1.413,0.13,76800,0,0,1,0,0,0
0.004,0.68,55000,0,1,0,0,0,0
0.709,0.68,77500,0,0,1,0,0,0
0.004,0.13,23700,0,0,1,0,0,0
-1.404,0.68,87200,0,1,0,0,0,0
-1.404,-0.10,70400,0,0,0,0,1,0
-0.700,2.26,85300,1,0,0,0,0,0
1.413,0.13,60400,0,0,0,0,1,0
-1.404,2.26,74300,0,0,0,0,1,0
-0.700,0.30,91300,0,0,0,0,1,0
-1.404,-0.27,34500,1,0,0,0,0,0
1.413,0.19,65900,0,0,0,0,1,0
1.413,-0.64,45400,0,0,1,0,0,0
1.413,0.13,39100,0,1,0,0,0,0
1.413,0.67,53300,0,0,1,0,0,0
-1.404,2.26,83800,0,0,0,1,0,0
0.709,1.53,79400,0,0,0,0,1,0
-0.700,2.26,74900,1,0,0,0,0,0
-1.404,0.13,76700,0,0,0,0,0,1
-1.404,1.88,56100,0,1,0,0,0,0
-0.700,0.13,82100,0,1,0,0,0,0
-1.404,0.13,41900,0,0,1,0,0,0
-0.700,0.19,49000,1,0,0,0,0,0
1.413,-1.66,34900,0,0,1,0,0,0
-0.700,-0.82,51300,0,0,0,0,1,0
0.004,0.16,52300,0,0,1,0,0,0
-1.404,-0.10,34200,1,0,0,0,0,0
-1.404,-1.66,25000,1,0,0,0,0,0
0.709,0.30,68000,1,0,0,0,0,0
-0.700,-0.33,54300,0,0,1,0,0,0
1.413,-0.10,60600,1,0,0,0,0,0
0.709,0.30,61600,0,0,1,0,0,0
-1.404,-0.82,36800,1,0,0,0,0,0
0.709,0.13,43500,0,1,0,0,0,0
0.004,0.13,42800,0,1,0,0,0,0
0.709,-0.82,39100,1,0,0,0,0,0
1.413,0.13,79300,1,0,0,0,0,0
0.004,0.13,33600,0,0,1,0,0,0
1.413,2.26,81400,0,0,0,0,1,0
1.413,-0.82,28300,0,1,0,0,0,0
-1.404,0.13,27400,0,0,0,1,0,0
0.709,1.53,63000,1,0,0,0,0,0
0.004,0.68,79100,0,0,1,0,0,0
-0.700,-0.33,113900,0,0,0,0,1,0
-0.700,-1.50,33600,0,0,1,0,0,0
-0.700,0.44,64100,1,0,0,0,0,0
0.709,-0.09,66200,0,0,0,1,0,0
-0.700,-0.33,33200,0,1,0,0,0,0
0.709,-0.82,41800,0,0,1,0,0,0
-0.700,0.68,53200,0,1,0,0,0,0
0.004,0.30,55300,0,1,0,0,0,0
1.413,-0.82,51800,1,0,0,0,0,0
1.413,0.19,56500,1,0,0,0,0,0
-1.404,-0.82,40300,0,0,1,0,0,0
0.709,-0.82,45100,0,0,1,0,0,0
0.709,-0.77,79000,0,0,0,1,0,0
1.413,0.62,129000,0,0,0,0,1,0
-0.700,-0.33,51900,1,0,0,0,0,0
0.004,0.19,20900,0,0,0,1,0,0
1.413,-0.33,67500,0,0,1,0,0,0
-0.700,-0.82,21300,0,0,0,1,0,0
1.413,-0.09,68200,1,0,0,0,0,0
-1.404,-0.33,45900,1,0,0,0,0,0
0.004,-1.66,24800,0,1,0,0,0,0
0.004,-0.55,51700,1,0,0,0,0,0
-1.404,2.26,91500,1,0,0,0,0,0
1.413,0.68,51500,0,1,0,0,0,0
0.004,0.68,56600,0,0,1,0,0,0
0.004,0.93,39900,0,1,0,0,0,0
0.709,-0.33,60100,1,0,0,0,0,0
-0.700,-0.82,30600,1,0,0,0,0,0
-1.404,-1.66,22400,0,0,1,0,0,0
0.709,-0.82,49900,1,0,0,0,0,0
-0.700,0.13,50500,1,0,0,0,0,0
1.413,0.13,74000,1,0,0,0,0,0
1.413,0.67,119900,1,0,0,0,0,0
-0.700,0.13,95300,0,0,0,0,1,0
-1.404,0.68,52600,0,1,0,0,0,0
1.413,-1.62,30900,0,1,0,0,0,0
0.004,2.26,52800,1,0,0,0,0,0
1.413,0.44,77900,0,0,0,1,0,0
-0.700,-0.64,40700,0,0,1,0,0,0
-1.404,0.30,49000,0,0,0,1,0,0
0.004,-1.22,47700,1,0,0,0,0,0
